bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,37,125, 10 - 400 ,20,634,70459,245950,23,0,0,0,122417,434,0
02,21,45, 10 - 300 ,20,192,56489,164940,0,0,0,0,38340,129,0
03,8,18, 10 - 200 ,8,89,4925,15098,0,0,0,0,3479,16,0
04,3,3, 10 - 150 ,2,11,1560,3553,0,0,0,0,0,0,0
05,2,3, 10 - 200 ,4,16,2535,6327,0,0,0,0,0,0,0
06,1,1, 30 - 200 ,1,7,2775,9335,0,0,0,0,0,0,0
07,8,12, 10 - 200 ,3,41,4808,15299,0,0,0,0,38,2,0
08,3,6, 30 - 150 ,2,21,2028,4327,0,0,0,0,600,5,0
09,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,12,18, 20 - 400 ,11,57,13127,42637,0,0,0,0,2634,18,0
12,12,21, 10 - 200 ,5,68,5604,18887,0,0,0,0,219,5,0
